t,velL,velR,pwmL,pwmR
0,0,0,255,0
10,0,0,255,0
20,0,0,255,0
30,0,0,255,0
40,0,0,255,0
50,0,0,255,0
60,1,0,255,0
70,1,0,255,0
80,2,0,255,0
90,2,0,255,0
100,2,0,255,0
110,2,0,255,0
120,2,0,255,0
130,3,0,255,0
140,3,0,255,0
150,3,0,255,0
160,3,0,255,0
170,4,0,255,0
180,4,0,255,0
190,4,0,255,0
200,4,0,255,0
210,4,0,255,0
220,4,0,255,0
230,4,0,255,0
240,4,0,255,0
250,5,0,255,0
260,4,0,255,0
270,4,0,255,0
280,4,0,255,0
290,4,0,255,0
300,4,0,255,0
310,4,0,255,0
320,5,0,255,0
330,5,0,255,0
340,5,0,255,0
350,5,0,255,0
360,5,0,255,0
370,4,0,255,0
380,4,0,255,0
390,4,0,255,0
400,4,0,255,0
410,4,0,255,0
420,4,0,255,0
430,4,0,255,0
440,4,0,255,0
450,4,0,255,0
460,4,0,255,0
470,5,0,255,0
480,5,0,255,0
490,5,0,255,0
500,5,0,255,0
510,5,0,255,0
520,5,0,255,0
530,4,0,255,0
540,4,0,255,0
550,4,0,255,0
560,4,0,255,0
570,4,0,255,0
580,3,0,255,0
590,3,0,255,0
600,3,0,255,0
610,3,0,255,0
620,3,0,255,0
630,4,0,255,0
640,5,0,255,0
650,5,0,255,0
660,6,0,255,0
670,5,0,255,0
680,4,0,255,0
690,4,0,255,0
700,4,0,255,0
710,4,0,255,0
720,4,0,255,0
730,4,0,255,0
740,4,0,255,0
750,4,0,255,0
760,4,0,255,0
770,4,0,255,0
780,4,0,255,0
790,4,0,255,0
800,4,0,255,0
810,4,0,255,0
820,4,0,255,0
830,5,0,255,0
840,5,0,255,0
850,4,0,255,0
860,4,0,255,0
870,4,0,255,0
880,4,0,255,0
890,4,0,255,0
900,5,0,255,0
910,4,0,255,0
920,4,0,255,0
930,3,0,255,0
940,4,0,255,0
950,4,0,255,0
960,4,0,255,0
970,4,0,255,0
980,4,0,255,0
990,4,0,255,0
