t,velL,velR,pwmL,pwmR
0,223,0,0,200
10,223,0,0,200
20,223,0,0,200
30,223,0,0,200
40,223,0,0,200
50,0,0,0,200
60,0,0,0,200
70,0,0,0,200
80,0,0,0,200
90,0,1,0,200
100,0,1,0,200
110,0,2,0,200
120,0,1,0,200
130,0,1,0,200
140,0,1,0,200
150,0,1,0,200
160,0,1,0,200
170,0,1,0,200
180,0,1,0,200
190,0,1,0,200
200,0,1,0,200
210,0,1,0,200
220,0,1,0,200
230,0,1,0,200
240,0,1,0,200
250,0,1,0,200
260,0,1,0,200
270,0,1,0,200
280,0,1,0,200
290,0,1,0,200
300,0,1,0,200
310,0,1,0,200
320,0,1,0,200
330,0,1,0,200
340,0,1,0,200
350,0,1,0,200
360,0,1,0,200
370,0,1,0,200
380,0,2,0,200
390,0,1,0,200
400,0,1,0,200
410,0,1,0,200
420,0,1,0,200
430,0,1,0,200
440,0,1,0,200
450,0,1,0,200
460,0,1,0,200
470,0,1,0,200
480,0,0,0,200
490,0,1,0,200
500,0,1,0,200
510,0,1,0,200
520,0,1,0,200
530,0,1,0,200
540,0,1,0,200
550,0,1,0,200
560,0,1,0,200
570,0,1,0,200
580,0,1,0,200
590,0,1,0,200
600,0,1,0,200
610,0,1,0,200
620,0,1,0,200
630,0,1,0,200
640,0,1,0,200
650,0,1,0,200
660,0,1,0,200
670,0,1,0,200
680,0,1,0,200
690,0,1,0,200
700,0,1,0,200
710,0,1,0,200
720,0,1,0,200
730,0,1,0,200
740,0,1,0,200
750,0,1,0,200
760,0,1,0,200
770,0,1,0,200
780,0,1,0,200
790,0,1,0,200
800,0,1,0,200
810,0,1,0,200
820,0,1,0,200
830,0,1,0,200
840,0,1,0,200
850,0,1,0,200
860,0,1,0,200
870,0,1,0,200
880,0,1,0,200
890,0,1,0,200
900,0,1,0,200
910,0,1,0,200
920,0,1,0,200
930,0,1,0,200
940,0,1,0,200
950,0,1,0,200
960,0,1,0,200
970,0,1,0,200
980,0,1,0,200
990,0,1,0,200
1000,0,1,0,200
